id,Happiness Index
803799617,0.0
803785132,0.4090909090909091
803731378,0.4090909090909091
803728204,0.8181818181818182
803651761,0.0
803614638,0.31818181818181823
803584823,0.42424242424242425
803575006,0.5454545454545455
803206981,0.8181818181818182
803190365,0.8181818181818182
803102420,0.0
803093073,0.0
803072211,0.0
803059350,0.0
802982993,0.41454545454545455
802979603,0.0
802956366,0.0
802846955,0.0
802835430,0.0
802763878,0.7012987012987014
802641298,0.0
802614970,0.0
802417843,0.0
802380335,0.6074380165289256
802335782,0.0
802155382,0.0
802041831,0.08181818181818182
801988009,0.27272727272727276
801904149,0.1239669421487603
801876380,0.8181818181818182
801822104,0.0
801809570,0.0
801708985,0.0
801517350,0.0
801471538,0.0
801467667,0.5454545454545455
801430709,0.5244755244755245
801385831,0.0
801354991,0.32727272727272727
801342931,0.0
801318060,0.0
801256114,0.0
801243763,0.27272727272727276
800941561,0.0
800903128,0.0
800763985,0.6363636363636365
800700815,0.0
800677103,0.0
800675196,0.4090909090909091
800511658,0.0
800482172,0.0
800395326,0.7058823529411765
800226064,0.0
799936957,0.5151515151515151
799934383,0.0
799923004,0.11688311688311684
799839048,0.0
799734251,0.0
799701471,0.0
799699810,0.0
799692791,0.8181818181818182
799692191,0.0
799668750,0.0
799604817,0.5454545454545455
799604233,0.5454545454545455
799557425,0.75
799503604,0.0
799449704,0.8181818181818182
799446644,0.6181818181818182
799395315,0.0
799274809,0.0
799260088,0.5454545454545455
799259415,0.0
799249065,0.0
799041363,0.0
799016313,0.506951871657754
798789065,0.27272727272727276
798680051,0.8181818181818182
798559351,0.32727272727272727
798552185,0.0
798542405,0.5259740259740261
798538944,0.0
798283447,0.0
798259558,0.0
798202218,0.0
798093273,0.0
798076302,0.0
798066638,0.0
797741450,0.08181818181818182
797580662,0.0
797534678,0.5220779220779221
797527064,0.0
797514939,0.0
797505148,0.21212121212121213
797490796,0.0
797469757,0.0
797465268,0.0
797403297,0.371900826446281
797297109,0.7045454545454546
796993724,0.8181818181818182
796979274,0.34710743801652894
796972718,0.0
796966691,0.0
796926864,0.0
796869817,0.7636363636363637
796862976,0.32727272727272727
796853741,0.0
