id,sex,age,city,country,friend_count,followers_count,pages,groups,posts_last_year,posts_likes,photos_last_year,photo_likes
803739498,2,46,60,1,0,0,0,0,1,0,1,0
803738053,2,41,60,1,0,1,0,0,0,0,0,0
803667338,2,43,60,1,3,0,0,0,1,0,1,0
803604183,2,41,60,1,0,0,1,1,0,0,0,0
803596116,2,52,60,1,2,0,21,23,2,2,2,2
803559459,2,53,60,1,0,2,0,0,0,0,0,0
803527560,2,53,60,1,0,0,0,1,0,0,0,0
803443972,2,40,60,1,1,2,23,33,5,2,19,2
803420529,2,43,60,1,0,0,1,1,0,0,0,0
803411983,2,44,60,1,0,3,2,2,0,0,0,0
803353490,2,40,60,1,1,1,0,0,0,0,0,0
803338402,2,45,60,1,0,1,0,0,0,0,0,0
803332558,2,51,60,1,19,1,1,1,3,13,3,13
803329340,2,43,60,1,0,1,2,2,6,0,3,0
803322147,2,53,60,1,1,0,0,0,0,0,1,0
803302948,2,54,60,1,14,0,4,4,2,3,11,2
803222091,2,51,60,1,0,0,0,0,1,0,1,0
803187018,2,52,60,1,3,0,0,0,1,0,1,0
803167751,2,48,60,1,10,0,0,0,2,1,1,1
803120428,2,45,60,1,0,4,0,0,0,0,0,0
803096332,2,41,60,1,1,1,0,0,0,0,0,0
803013324,2,40,60,1,0,1,0,0,1,0,1,0
802993187,2,45,60,1,0,0,2,3,0,0,0,0
802981001,2,41,60,1,15,2,0,0,1,0,1,0
802944708,2,53,60,1,0,1,1,1,0,0,0,0
802913207,2,40,60,1,0,3,0,0,1,1,1,1
802882343,2,42,60,1,1,3,0,0,1,1,2,2
802850813,2,46,60,1,0,1,0,0,1,1,3,1
802756576,2,52,60,1,0,2,0,0,1,0,1,0
802735118,2,52,60,1,0,5,1,1,2,0,3,0
802672690,2,53,60,1,0,1,0,1,1,0,1,0
802667784,2,48,60,1,0,3,0,0,4,5,10,8
802615691,2,53,60,1,0,1,0,0,0,0,0,0
802517060,2,41,60,1,0,1,0,1,0,0,0,0
802480614,2,41,60,1,0,0,1,2,0,0,0,0
802348328,2,42,60,1,1,1,0,0,2,2,1,1
802172865,2,43,60,1,0,1,0,0,0,0,0,0
802163966,2,43,60,1,0,2,0,0,1,0,1,0
802060165,2,43,60,1,0,3,0,1,1,0,1,0
802050251,2,40,60,1,0,0,0,1,0,0,0,0
802016693,2,48,60,1,0,3,0,0,2,2,1,1
801746236,2,49,60,1,9,0,0,0,0,0,0,0
801303135,2,42,60,1,15,2,0,1,1,2,1,2
801186699,2,40,60,1,1,4,0,0,1,1,1,1
801147752,2,45,60,1,0,1,0,1,0,0,0,0
801137794,2,43,60,1,0,3,1,1,0,0,0,0
801104835,2,40,60,1,22,0,1,2,2,1,1,1
801004467,2,47,60,1,3,8,3,4,0,0,1,0
800939657,2,43,60,1,0,1,0,0,0,0,0,0
800877947,2,41,60,1,5,4,33,57,1,1,1,1
800875356,2,46,60,1,1,0,0,0,0,0,0,0
800856515,2,49,60,1,1,0,1,1,0,0,0,0
800852486,2,49,60,1,6,4,3,3,1,3,1,3
800822722,2,46,60,1,1,3,0,0,1,1,1,1
800816797,2,46,60,1,0,1,0,0,0,0,0,0
800812092,2,48,60,1,8,7,1,1,1,1,1,1
800795688,2,44,60,1,1,0,0,1,0,0,0,0
800788957,2,42,60,1,0,0,8,12,0,0,0,0
800706653,2,42,60,1,6,3,0,0,0,0,1,2
800691037,2,45,60,1,1,2,0,0,2,2,1,1
800678684,2,54,60,1,7,3,0,0,1,4,1,5
800675103,2,47,60,1,2,0,1,1,5,1,17,1
800671415,2,48,60,1,2,3,1,51,4,10,20,4
800669605,2,41,60,1,0,5,0,14,2,1,1,0
800659664,2,51,60,1,3,0,0,0,0,0,0,0
800639634,2,44,60,1,0,1,0,0,0,0,0,0
800638636,2,47,60,1,1,0,0,0,0,0,0,0
800635738,2,43,60,1,13,0,0,0,2,2,6,2
800608481,2,44,60,1,0,7,0,0,1,0,1,0
800562876,2,42,60,1,1,0,0,0,0,0,0,0
800559323,2,48,60,1,7,1,26,48,0,0,15,6
800558958,2,40,60,1,3,4,0,0,1,4,1,4
800549754,2,42,60,1,20,0,6,8,15,8,1,3
800543850,2,41,60,1,0,3,1,1,1,1,1,1
800519344,2,53,60,1,0,6,0,0,0,0,0,0
800505415,2,49,60,1,0,1,0,0,0,0,0,0
800461062,2,49,60,1,0,1,0,0,0,0,0,0
800451077,2,42,60,1,0,0,1,1,0,0,0,0
800401600,2,44,60,1,0,3,1,1,1,3,1,3
800360911,2,40,60,1,0,3,0,0,2,2,1,1
800327153,2,51,60,1,4,16,0,0,1,7,1,8
800318599,2,49,60,1,0,1,0,0,1,0,1,0
800278893,2,45,60,1,0,1,0,1,0,0,0,0
800227608,2,53,60,1,2,6,0,0,0,0,1,0
800224790,2,44,60,1,1,1,0,0,0,0,0,0
800212515,2,43,60,1,0,5,0,0,0,0,0,0
800212036,2,42,60,1,8,1,0,1,5,6,8,5
800159165,2,43,60,1,0,1,0,0,1,0,1,0
800139550,2,50,60,1,1,9,27,37,11,23,13,10
800020226,2,43,60,1,1,0,0,0,0,0,0,0
799965695,2,40,60,1,2,0,0,1,0,0,0,0
799893946,2,42,60,1,1,3,0,0,1,1,1,1
799860206,2,46,60,1,0,0,0,19,3,3,0,0
799844868,2,41,60,1,0,0,0,1,0,0,0,0
799821822,2,53,60,1,0,5,4,5,1,1,1,1
799752877,2,41,60,1,104,5,12,15,12,205,7,12
799741626,2,43,60,1,0,6,0,0,0,0,5,2
799710022,2,52,60,1,1,1,0,0,0,0,0,0
799702286,2,49,60,1,0,2,0,0,0,0,0,0
799695673,2,44,60,1,0,0,0,0,0,0,1,0
799694905,2,44,60,1,0,0,0,1,0,0,0,0
799652793,2,43,60,1,2,1,0,0,0,0,0,0
799650316,2,43,60,1,0,0,0,0,2,0,1,0
799626576,2,45,60,1,0,0,1,1,0,0,0,0
799619011,2,43,60,1,1,0,0,0,0,0,0,0
799576189,2,52,60,1,0,3,0,0,1,0,1,0
799560761,2,52,60,1,20,2,1,3,3,27,8,17
799413866,2,42,60,1,0,0,0,3,0,0,0,0
799400319,2,40,60,1,13,1,15,17,0,0,0,0
799189843,2,40,60,1,0,1,0,0,0,0,0,0
799143065,2,40,60,1,13,2,13,19,0,0,1,3
799140654,2,43,60,1,0,0,0,0,0,0,1,0
799089763,2,54,60,1,0,2,0,0,0,0,0,0
799089430,2,52,60,1,31,0,6,11,22,34,15,25
799051421,2,47,60,1,0,2,0,0,1,2,1,2
799020118,2,52,60,1,0,2,0,0,0,0,0,0
798952696,2,46,60,1,0,0,1,1,0,0,0,0
798836327,2,48,60,1,0,0,0,0,0,0,1,0
798734837,2,42,60,1,32,0,3,6,3,2,3,2
798730384,2,42,60,1,0,0,6,6,0,0,0,0
798604276,2,53,60,1,0,3,0,0,1,1,1,1
798583839,2,45,60,1,0,3,0,0,1,1,1,1
798555755,2,52,60,1,6,1,3,6,5,1,6,1
798533010,2,45,60,1,0,1,0,0,0,0,0,0
798515938,2,50,60,1,0,1,0,0,0,0,0,0
798506596,2,42,60,1,0,4,0,0,1,0,1,0
798479616,2,40,60,1,0,0,0,0,1,0,1,0
798461755,2,48,60,1,0,2,0,0,0,0,0,0
798375730,2,46,60,1,0,0,0,0,1,0,1,0
798353266,2,47,60,1,0,0,1,1,0,0,0,0
798345743,2,42,60,1,9,7,1,1,2,8,3,11
798232505,2,42,60,1,3,3,1,2,0,0,1,2
798188171,2,42,60,1,0,2,0,0,0,0,0,0
798183271,2,51,60,1,0,3,0,0,1,0,1,0
798076986,2,47,60,1,0,0,0,1,0,0,0,0
798061090,2,43,60,1,1,3,0,1,0,0,0,0
798012833,2,45,60,1,1,0,0,0,0,0,0,0
797992096,2,42,60,1,13,0,0,1,0,0,2,1
797843532,2,48,60,1,2,3,0,0,0,0,1,0
797771428,2,41,60,1,0,6,2,2,0,0,0,0
797759924,2,46,60,1,0,0,0,1,0,0,0,0
797725171,2,41,60,1,0,5,0,0,1,1,1,1
797698721,2,44,60,1,24,0,0,0,1,10,1,10
797607045,2,40,60,1,28,2,6,7,6,2,1,2
797492872,2,44,60,1,0,3,0,0,0,0,0,0
797476611,2,50,60,1,0,1,1,2,0,0,0,0
797412947,2,40,60,1,0,1,0,0,2,0,2,1
797346734,2,46,60,1,23,7,7,8,3,1,9,13
797341001,2,44,60,1,30,1,14,32,1,1,4,1
797302007,2,41,60,1,511,15,2,2,2,218,4,228
797276886,2,51,60,1,0,0,0,0,0,0,1,0
797226365,2,46,60,1,0,0,1,1,0,0,0,0
797220698,2,54,60,1,0,1,0,0,0,0,0,0
797191653,2,43,60,1,1,0,0,0,0,0,0,0
797116123,2,42,60,1,0,10,0,0,1,4,1,4
797100652,2,41,60,1,1,1,0,0,0,0,0,0
797062074,2,50,60,1,0,1,0,0,0,0,0,0
797055912,2,42,60,1,11,1,0,0,1,3,6,8
797053274,2,46,60,1,0,1,0,0,0,0,0,0
797053008,2,46,60,1,0,0,1,3,0,0,0,0
796985123,2,40,60,1,5,1,0,0,0,0,3,0
796983225,2,40,60,1,0,3,1,1,0,0,0,0
796964157,2,53,60,1,0,0,0,0,1,0,1,0
796906346,2,54,60,1,0,0,0,1,0,0,0,0
796894031,2,41,60,1,0,0,0,4,0,0,0,0
796867249,2,40,60,1,1,0,0,0,0,0,0,0
796854979,2,44,60,1,0,1,0,0,0,0,0,0
796831366,2,48,60,1,0,3,0,0,0,0,0,0
796823800,2,47,60,1,0,3,1,1,0,0,1,0
796800261,2,42,60,1,0,1,7,12,0,0,0,0
